14033752900;14033866133;1000;överföring
14033752900;14033866133;1500;överföring
14033978823;14033752900;3500;överföring
14033866133;14033752900;3000.0;SPARA
14033752900;00000000000;1000.0;UTTAG
00000000000;14033752900;20000.0;INSÄTTNING
14033752900;00000000000;8000.0;UTTAG
00000000000;14034976510;500.0;INSÄTTNING
14033752900;14033866133;1000.0;test
14034593011;1101234;5100.0;test
14033752900;00000000000;100.0;UTTAG
14033752900;00000000000;100.0;UTTAG
14033978823;14033752900;1000.0;Tack för lånet
14033978823;14034604574;1000.0;test
14034975470;14034868586;20000.0;
14033752900;14034936412;100.0;Spara
14034321198;14034936412;60.0;Spara
14033752900;50501050;5000.0;784187264871264
14034936412;12345678900;1.0;hyran
14034868586;14033752900;1.0;Tack
14033866133;14034936412;100.0;Spara
14033752900;129458883774;1.0;3247923847hehiweh
14033978823;14033752900;1.0;tackar
14034477565;14034936412;50.0;Sparar
14034919282;14033752900;1.0;Test
